Contract,Region,Type,Jul-16,Aug-16,Sep-16,Oct-16,Nov-16,Dec-16,Jan-17,Feb-17,Mar-17,Apr-17,May-17,Jun-17,Jul-17,Aug-17,Sep-17,Oct-17,Nov-17,Dec-17,Jan-18,Feb-18,Mar-18,Apr-18,May-18,Jun-18,Jul-18,Aug-18,Sep-18,Oct-18,Nov-18,Dec-18,Jan-19,Feb-19,Mar-19,Apr-19,May-19,Jun-19,Jul-19,Aug-19,Sep-19,Oct-19,Nov-19,Dec-19,Jan-20,Feb-20,Mar-20,Apr-20,May-20,Jun-20,Jul-20,Aug-20,Sep-20
Sydney Metro Bus Contract 2,South Western Sydney,Child/Youth,"15,217","18,145","19,883","20,366","21,889","20,941","20,308","22,705","22,796","21,051","21,146","18,963","24,222","21,976","23,184","23,422","23,184","22,548","23,669","22,809","23,677","22,532","21,074","19,236","24,613","23,080","25,799","28,573","29,268","24,753","24,948","29,396","28,946","25,822","28,185","24,390","29,357","27,435","25,246","28,014","26,051","23,644","24,157","25,713","18,031","4,467","9,112","13,819","15,137","13,948","15,407"
Sydney Metro Bus Contract 2,South Western Sydney,Child/Youth Single Bus Trip 1,,"2,745","2,655","2,320","2,152","2,053","1,996","1,335","1,580","1,667","1,417","1,267","1,820","1,349","1,514","1,286","1,140","1,446","1,521",965,"1,076","1,217","1,003",763,"1,352","1,012","1,311","1,565","1,396","1,426","1,462","1,102","1,296","1,285","1,043",929,"1,261","1,040",876,"1,060",791,930,886,542,362,,,,,,
Sydney Metro Bus Contract 2,South Western Sydney,Child/Youth Single Bus Trip 2,,"1,706","1,777","1,359","1,162","1,399","1,404",835,820,"1,206",750,812,"1,272",806,"1,003",923,610,901,"1,182",579,742,919,591,598,997,566,744,911,712,816,"1,008",589,697,723,549,507,751,621,467,678,390,568,518,364,219,,,,2,,
Sydney Metro Bus Contract 2,South Western Sydney,Child/Youth Single Bus Trip 3,,243,218,184,139,215,202,111,114,183,102,124,189,110,116,138,86,174,164,105,110,113,75,86,153,102,118,156,95,140,191,81,87,104,77,90,139,86,101,126,122,122,114,50,38,,,,,,
Sydney Metro Bus Contract 2,South Western Sydney,Concession,"37,534","23,745","20,282","19,053","20,104","16,488","15,719","20,534","30,653","22,158","28,790","22,225","22,353","29,077","24,080","24,604","23,159","17,479","17,001","20,393","30,309","24,307","30,234","22,850","22,415","28,101","24,213","22,201","20,921","15,797","15,362","19,412","28,255","23,404","27,653","20,132","22,635","27,003","22,191","22,743","21,029","16,153","14,246","19,120","20,385","4,829","6,748","9,444","9,387","9,707","10,181"
Sydney Metro Bus Contract 2,South Western Sydney,Employee,,,,,,,,,,,,,,,,,,,,,,,,,,243,359,492,566,471,587,675,824,636,878,764,845,892,915,920,884,804,821,815,760,346,414,523,624,497,471
Sydney Metro Bus Contract 2,South Western Sydney,Free Travel,663,850,925,975,"1,130","1,058",911,"1,038","1,073","1,019","1,196",958,972,"1,010","1,004","1,112","1,103",951,"1,011",854,919,898,"1,096",929,"1,068","1,157","1,017","1,080","1,182","1,116","1,076","1,118","1,181","1,017","1,080",993,"1,309","1,322","1,193","1,193","1,137","1,037",882,"1,025",818,413,446,588,611,559,562
Sydney Metro Bus Contract 2,South Western Sydney,School Student,"33,879","83,258","59,145","54,822","73,227","28,460","3,901","66,266","78,036","26,336","80,189","65,058","32,887","71,883","48,299","51,362","62,306","22,707","4,256","60,749","65,471","26,332","66,589","54,120","28,654","70,227","85,068","64,494","113,394","49,996","6,280","109,072","117,644","60,255","120,128","90,241","55,962","103,955","91,732","63,438","90,027","40,584","9,497","90,252","65,717",684,"21,344","56,517","28,114","49,966","44,406"
Sydney Metro Bus Contract 2,South Western Sydney,Senior/Pensioner,"80,018","93,181","90,156","90,364","96,103","87,640","79,041","87,363","98,689","82,799","98,189","88,694","90,257","95,128","90,732","92,075","94,932","85,494","83,760","89,251","97,625","85,546","98,506","86,719","91,704","97,165","90,172","92,930","97,562","87,319","82,568","90,956","96,763","90,340","103,428","88,152","97,412","96,882","93,736","100,001","98,129","89,435","83,786","88,280","74,314","36,283","48,268","60,302","58,877","57,421","62,384"
Sydney Metro Bus Contract 2,South Western Sydney,CTP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,813","6,922","9,972","10,888","13,414","15,561","14,778","8,256","11,836","14,540","15,341","15,567","18,637"
Sydney Metro Bus Contract 2,South Western Sydney,Day Pass Child/Youth w/o SAF,,,,,,,,,,,,,,,,1,,,,,7,1,,,3,,,3,5,10,5,11,6,4,5,6,10,12,9,7,5,6,5,3,2,,1,1,,,
Sydney Metro Bus Contract 2,South Western Sydney,Day Pass without SAF,,,,,,,,,,,,,,,10,,,,,,,5,4,3,1,7,7,7,8,14,25,21,11,13,18,35,39,15,20,21,15,16,22,28,8,8,4,11,7,4,7
Sydney Metro Bus Contract 3,Western Sydney,Adult,"358,199","362,876","358,847","357,225","382,168","336,947","323,012","343,946","367,571","337,249","422,936","385,955","392,943","420,805","398,923","409,218","426,084","363,618","361,659","395,725","433,936","404,594","473,051","414,702","448,534","472,420","434,593","469,712","483,938","406,128","418,389","445,412","488,165","443,033","517,120","442,400","497,952","495,370","473,238","483,973","473,007","408,438","395,174","413,246","344,438","145,502","184,844","224,463","240,554","222,797","235,797"
Sydney Metro Bus Contract 3,Western Sydney,Adult Single Bus Trip 1,,"26,474","23,641","22,558","22,660","21,972","19,856","19,400","18,556","19,079","20,551","18,235","18,825","18,588","18,620","18,497","18,361","18,842","17,722","17,115","18,207","18,036","17,922","15,319","16,380","15,584","14,774","15,851","15,747","15,991","15,167","14,831","15,662","14,943","15,132","13,128","14,459","13,464","12,404","12,667","11,798","11,584","10,685","10,203","4,701",5,8,1,8,10,2
Sydney Metro Bus Contract 3,Western Sydney,Adult Single Bus Trip 2,,"21,037","17,322","15,772","15,949","15,103","13,674","13,050","12,519","12,469","13,517","11,895","12,759","12,162","11,672","11,343","10,999","10,825","10,554","10,090","10,401","10,203","10,458","8,650","9,592","9,222","8,563","9,547","9,230","9,250","8,649","8,621","8,468","8,371","8,581","7,555","8,545","7,648","7,074","6,973","6,536","6,324","5,672","5,412","2,395",3,1,3,,,1
Sydney Metro Bus Contract 3,Western Sydney,Adult Single Bus Trip 3,,"3,132","2,502","2,264","2,234","2,382","2,041","2,076","1,806","1,803","1,879","1,646","1,819","1,646","1,414","1,535","1,528","1,714","1,484","1,426","1,482","1,438","1,490","1,239","1,296","1,365","1,247","1,407","1,412","1,354","1,250","1,041","1,147","1,097","1,151",935,"1,072","1,115",784,826,637,706,562,489,287,,1,1,,1,
Sydney Metro Bus Contract 3,Western Sydney,Child/Youth,"48,558","60,182","62,642","66,791","72,372","69,454","64,697","74,409","70,240","73,058","79,594","71,744","81,384","79,066","81,199","82,819","82,507","77,763","75,025","85,944","88,767","80,039","82,442","73,366","84,482","82,778","77,435","82,471","81,204","75,719","75,872","84,044","85,061","79,444","79,072","69,341","84,418","77,700","72,219","82,066","73,814","71,570","70,646","71,777","50,311","11,798","26,071","39,772","44,922","35,965","41,535"
Sydney Metro Bus Contract 3,Western Sydney,Child/Youth Single Bus Trip 1,,"14,039","10,431","8,823","8,432","8,043","6,491","5,668","5,236","6,566","5,914","5,232","6,540","5,879","6,042","5,770","5,317","5,645","4,967","4,616","4,912","4,790","4,363","3,871","5,172","4,364","4,124","4,373","4,016","4,369","4,394","3,394","3,727","3,969","3,370","3,087","4,129","3,410","3,144","3,770","2,812","3,149","3,126","2,021",938,,4,,4,,
Sydney Metro Bus Contract 3,Western Sydney,Child/Youth Single Bus Trip 2,,"8,986","6,720","5,570","4,736","5,860","5,649","3,309","3,139","5,049","3,511","3,479","4,937","3,380","4,105","3,730","3,217","4,029","4,136","2,545","2,802","3,762","2,435","2,368","3,695","2,527","2,671","3,068","2,504","3,291","3,558","2,041","2,287","2,835","2,105","2,164","2,839","1,920","1,845","2,353","1,506","1,921","2,175","1,272",518,,,,,,
Sydney Metro Bus Contract 3,Western Sydney,Child/Youth Single Bus Trip 3,,663,563,411,287,469,421,255,247,334,245,206,334,147,262,185,174,294,331,173,213,240,159,199,303,184,173,197,148,347,293,197,194,252,144,156,212,152,128,192,124,212,204,94,56,,,,,,
Sydney Metro Bus Contract 3,Western Sydney,Concession,"141,581","94,549","81,868","83,759","85,457","74,738","71,531","89,974","126,184","100,171","132,503","101,862","100,008","129,794","106,347","110,264","102,224","78,564","71,639","86,457","126,983","98,618","120,777","89,783","87,956","121,798","101,336","94,346","85,259","63,140","56,089","71,486","106,941","88,454","104,346","78,397","86,404","109,717","92,053","94,343","85,781","65,827","55,153","74,220","75,998","16,857","23,543","31,813","35,172","36,639","36,750"
Sydney Metro Bus Contract 3,Western Sydney,Employee,1,,,1,,,,,,,,,,,,1,,,1,,,,1,,,695,"1,194","1,458","1,383","1,201","1,549","1,622","1,826","1,536","1,880","1,620","1,912","2,148","1,749","1,830","1,609","1,466","1,475","1,538","1,341",714,889,955,"1,083","1,070","1,140"
Sydney Metro Bus Contract 3,Western Sydney,Free Travel,"1,299","1,693","1,693","1,568","1,869","1,599","1,417","1,609","1,649","1,501","2,009","1,685","1,701","1,912","1,688","1,855","1,821","1,527","1,272","1,493","1,819","1,665","2,029","1,859","1,939","1,990","1,896","1,844","2,097","1,802","1,731","1,899","2,080","1,733","2,082","1,717","1,866","1,847","1,757","1,842","1,703","1,620","1,667","1,608","1,307",418,562,834,870,811,944
Sydney Metro Bus Contract 3,Western Sydney,School Student,"69,157","168,615","124,118","120,205","165,809","70,202","10,146","148,887","165,640","66,401","203,974","176,259","89,844","200,836","138,009","146,718","189,958","71,013","11,439","181,955","200,223","80,587","209,501","173,513","94,510","195,207","164,189","108,358","176,817","86,031","11,089","175,681","192,568","98,568","206,171","161,329","100,816","189,847","163,977","112,429","163,675","83,016","16,438","160,933","122,607","1,690","47,059","116,104","56,444","95,275","83,223"
Sydney Metro Bus Contract 3,Western Sydney,Senior/Pensioner,"242,938","274,479","270,225","272,252","286,254","265,125","246,095","253,752","263,471","254,421","300,134","271,737","274,744","290,844","275,720","283,361","293,095","262,191","259,247","271,211","299,218","272,716","310,280","271,484","288,805","299,826","280,752","293,085","303,434","278,934","268,167","285,167","310,254","288,957","324,118","279,145","305,114","308,766","292,407","312,114","306,234","286,788","270,283","275,234","228,577","108,552","148,605","188,205","187,395","173,649","190,852"
Sydney Metro Bus Contract 3,Western Sydney,CTP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"6,373","26,394","35,808","40,943","48,155","55,380","51,210","24,348","34,363","45,182","50,759","49,243","56,858"
Sydney Metro Bus Contract 3,Western Sydney,Day Pass Child/Youth w/o SAF,,,,,,,,,,,,,,,4,,,,,,,,,1,,,,,,,2,,1,1,,4,11,2,1,1,,1,3,2,4,,,,,,
Sydney Metro Bus Contract 3,Western Sydney,Day Pass without SAF,,,,,,,,,,,,,,,15,8,,,,,2,2,7,5,11,13,13,18,40,8,20,31,33,48,27,65,58,38,84,63,48,54,48,49,44,17,25,21,49,26,22
