Contract,Region,Type,Jul-16,Aug-16,Sep-16,Oct-16,Nov-16,Dec-16,Jan-17,Feb-17,Mar-17,Apr-17,May-17,Jun-17,Jul-17,Aug-17,Sep-17,Oct-17,Nov-17,Dec-17,Jan-18,Feb-18,Mar-18,Apr-18,May-18,Jun-18,Jul-18,Aug-18,Sep-18,Oct-18,Nov-18,Dec-18,Jan-19,Feb-19,Mar-19,Apr-19,May-19,Jun-19,Jul-19,Aug-19,Sep-19,Oct-19,Nov-19,Dec-19,Jan-20,Feb-20,Mar-20,Apr-20,May-20,Jun-20,Jul-20,Aug-20,Sep-20
Sydney Metro Bus Contract 5,Southern Sydney,Adult Single Bus Trip 2,,"1,994","1,644","1,568","1,522","1,453","1,468","1,397","1,442","1,259","1,391","1,226","1,203","1,123","1,076","1,050","1,087","1,046","1,035",974,"1,117","1,038",952,895,"1,040",951,945,"1,015","1,031","1,023","1,085",936,"1,030",909,896,873,"1,050",892,799,803,675,649,577,540,328,,1,,,2,1
Sydney Metro Bus Contract 5,Southern Sydney,Adult Single Bus Trip 3,,76,51,47,29,42,47,27,31,19,28,32,32,27,33,34,40,21,23,24,28,48,41,51,33,39,41,37,35,37,31,26,26,25,28,24,22,21,25,31,8,13,8,11,8,,,,,,
Sydney Metro Bus Contract 5,Southern Sydney,Child/Youth,"16,248","15,396","18,546","18,193","20,525","20,684","20,662","18,605","18,931","19,238","17,913","16,016","20,904","16,457","19,446","18,983","17,835","19,876","21,925","17,934","18,257","20,986","15,875","15,009","22,973","16,727","16,706","21,663","18,710","20,269","24,669","18,725","18,692","20,663","17,168","14,932","23,405","17,142","16,672","22,450","17,460","19,485","23,243","16,641","10,658","2,848","5,843","7,554","12,700","7,302","9,014"
Sydney Metro Bus Contract 5,Southern Sydney,Child/Youth Single Bus Trip 1,,"2,366","2,235","1,864","1,611","1,920","2,194","1,020","1,120","1,640",989,913,"1,387",828,"1,183","1,011",758,"1,062","1,362",666,674,"1,125",580,523,"1,062",542,634,"1,101",761,"1,030","1,430",529,729,"1,068",598,617,"1,050",592,636,987,603,690,"1,098",410,231,,,,2,,
Sydney Metro Bus Contract 5,Southern Sydney,Child/Youth Single Bus Trip 2,,790,913,695,538,692,843,367,405,565,301,308,482,301,556,408,262,447,598,223,254,511,219,202,451,183,213,368,267,392,520,222,270,415,224,256,442,245,248,337,172,300,321,101,82,,,,,,
Sydney Metro Bus Contract 5,Southern Sydney,Child/Youth Single Bus Trip 3,,20,26,34,23,33,25,13,6,5,8,16,12,5,10,9,8,7,15,4,9,16,10,13,20,8,4,14,8,14,15,1,4,8,10,3,7,11,3,9,1,7,8,1,1,,,,,,
Sydney Metro Bus Contract 5,Southern Sydney,Concession,"26,744","17,118","14,941","14,027","13,506","11,109","10,058","12,418","19,561","14,292","19,212","14,505","13,637","18,556","15,898","16,131","15,064","11,923","11,549","13,872","21,592","17,692","21,562","16,619","17,299","22,754","19,111","18,647","16,696","13,126","12,507","15,141","22,073","18,168","20,798","15,874","17,844","21,272","18,893","19,186","17,146","14,487","12,452","15,480","14,991","2,844","4,824","7,674","9,553","9,008","9,438"
Sydney Metro Bus Contract 5,Southern Sydney,Employee,,,,,,,,,,,,1,,1,,,,,,,,,,,1,149,308,324,413,397,383,396,511,499,565,431,488,554,471,482,570,551,534,617,510,292,387,473,548,451,479
Sydney Metro Bus Contract 5,Southern Sydney,Free Travel,374,562,567,492,438,433,443,486,628,513,661,572,590,604,590,622,657,548,558,561,618,574,585,544,559,530,478,545,591,506,492,446,565,540,616,479,599,594,558,603,610,536,634,598,478,177,233,323,421,339,369
Sydney Metro Bus Contract 5,Southern Sydney,School Student,"18,869","43,686","32,966","29,215","46,283","18,087","2,487","40,017","48,195","16,815","49,281","39,762","19,343","41,402","27,328","26,725","33,170","12,019","2,429","32,537","38,112","15,185","38,572","29,891","15,925","33,908","29,273","19,672","33,960","17,099","2,621","38,868","45,211","23,270","45,977","33,657","21,965","40,475","34,477","24,418","34,800","18,155","4,440","38,724","27,890",493,"9,613","20,896","11,838","19,361","17,113"
Sydney Metro Bus Contract 5,Southern Sydney,Senior/Pensioner,"97,341","109,677","107,088","105,051","112,180","105,763","97,595","100,073","114,394","96,433","116,945","107,627","105,544","112,661","109,448","109,115","113,980","102,841","101,840","104,736","116,446","104,108","120,125","105,394","114,527","119,100","110,976","115,385","118,461","112,940","108,507","112,626","121,856","112,389","125,701","106,274","120,505","120,163","115,097","125,114","123,451","117,744","111,903","107,517","87,667","42,080","58,093","74,785","78,349","73,129","79,579"
Sydney Metro Bus Contract 5,Southern Sydney,CTP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2,115","8,762","11,514","13,384","16,055","17,405","15,483","7,878","11,262","14,801","17,389","16,660","18,896"
Sydney Metro Bus Contract 5,Southern Sydney,Day Pass Child/Youth w/o SAF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,,,,,3,,,,,1,,
Sydney Metro Bus Contract 5,Southern Sydney,Day Pass without SAF,,,,,,,,,,,,,,,,,,,,,,,,,,3,,7,3,3,8,3,24,12,4,2,5,5,4,5,5,4,4,16,5,,,3,6,1,2
Sydney Metro Bus Contract 6,Sydney,Adult,"2,410,236","2,615,554","2,437,412","2,451,474","2,556,355","2,334,068","2,287,165","2,351,875","3,067,464","2,539,878","2,888,676","2,611,227","2,727,256","2,935,236","2,738,208","2,924,209","2,964,461","2,596,538","2,614,731","2,695,099","3,053,020","2,780,262","3,326,922","3,052,246","1,271",,,,,,,,,,,,,,,,,,,,,,,,,,
Sydney Metro Bus Contract 6,Sydney,Adult Single Bus Trip 1,,"16,742","12,806","13,846","14,339","14,499","13,891","11,685","13,657","12,088","12,141","10,593","11,487","10,770","11,247","11,718","11,049","11,570","9,101","8,168","10,383","9,615","9,821","8,558",9,,,,,,,,,,,,,,,,,,,,,,,,,,
Sydney Metro Bus Contract 6,Sydney,Adult Single Bus Trip 2,,"6,727","4,763","4,998","5,224","5,379","5,229","4,285","5,256","4,353","4,544","4,184","4,422","3,955","4,011","4,372","4,153","4,373","3,482","2,956","3,851","3,579","3,495","3,026",4,,,,,,,,,,,,,,,,,,,,,,,,,,
Sydney Metro Bus Contract 6,Sydney,Adult Single Bus Trip 3,,659,412,471,498,494,462,387,456,412,384,342,360,323,288,358,356,350,279,280,365,316,311,255,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sydney Metro Bus Contract 6,Sydney,Child/Youth,"139,732","113,017","129,479","132,287","122,608","157,359","175,191","124,490","143,930","164,966","121,108","124,098","179,635","132,187","152,574","152,281","135,371","175,919","198,278","143,392","151,935","177,697","135,249","135,719",52,,,,,,,,,,,,,,,,,,,,,,,,,,
Sydney Metro Bus Contract 6,Sydney,Child/Youth Single Bus Trip 1,,"4,596","3,114","3,030","2,728","3,168","3,300","1,658","1,895","2,647","1,767","1,707","2,391","1,612","2,004","1,920","1,398","1,935","1,625",805,"1,125","1,413",949,952,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sydney Metro Bus Contract 6,Sydney,Child/Youth Single Bus Trip 2,,"1,800","1,234","1,235","1,002","1,399","1,410",725,803,"1,182",718,685,"1,045",734,894,814,630,956,777,367,588,698,439,421,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sydney Metro Bus Contract 6,Sydney,Child/Youth Single Bus Trip 3,,164,114,118,87,117,108,53,82,129,57,59,91,71,71,71,59,97,65,33,63,47,52,44,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sydney Metro Bus Contract 6,Sydney,Concession,"262,299","405,639","327,430","324,136","256,357","185,338","177,171","211,073","466,234","339,626","427,677","308,893","258,664","479,038","364,767","381,561","299,290","203,285","192,835","233,515","439,961","359,541","482,743","346,264",163,,,,,,,,,,,,,,,,,,,,,,,,,,
Sydney Metro Bus Contract 6,Sydney,Employee,"19,783","22,013","22,077","21,665","23,734","22,975","20,473","21,902","26,529","22,590","25,672","23,489","24,112","25,222","23,875","24,335","25,554","22,019","20,991","22,843","24,846","22,578","26,997","24,665",13,,,,,,,,,,,,,,,,,,,,,,,,,,
Sydney Metro Bus Contract 6,Sydney,Free Travel,"3,328","4,137","4,267","4,214","4,837","4,736","4,542","4,559","5,672","4,850","5,575","5,316","5,719","6,151","5,544","5,811","6,167","5,289","5,209","5,496","5,995","5,524","6,330","6,236",,,,,,,,,,,,,,,,,,,,,,,,,,,
Sydney Metro Bus Contract 6,Sydney,School Student,"53,202","121,139","88,067","79,943","107,029","41,947","8,005","107,824","127,872","44,894","122,296","94,043","55,308","123,484","81,246","80,727","102,449","37,485","8,572","114,515","122,799","53,969","142,389","116,246",,,,,,,,,,,,,,,,,,,,,,,,,,,
Sydney Metro Bus Contract 6,Sydney,Senior/Pensioner,"603,906","663,161","656,139","663,452","700,294","662,857","616,555","624,926","753,269","662,986","724,664","670,082","705,632","736,567","698,275","721,404","746,741","682,047","663,050","681,193","741,434","682,103","806,250","727,614",140,,,,,,,,,,,,,,,,,,,,,,,,,,
Sydney Metro Bus Contract 6,Sydney,Day Pass Child/Youth w/o SAF,,,,,,,,,,,,,,1,7,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sydney Metro Bus Contract 6,Sydney,Day Pass without SAF,,,,,,,,,,,,,,1,13,6,,,,,4,10,14,17,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sydney Metro Bus Contract 7,Sydney,Adult,"1,615,630","1,765,221","1,623,332","1,608,819","1,726,702","1,520,498","1,482,216","1,598,062","1,851,181","1,484,682","1,831,342","1,622,887","1,658,338","1,793,093","1,641,830","1,718,746","1,807,674","1,555,589","1,600,683","1,677,417","1,835,385","1,655,426","1,923,974","1,739,114","1,820,352","1,958,776","1,783,126","1,984,082","2,045,621","1,742,609","1,824,645","1,927,853","2,121,425","1,854,510","2,166,092","1,842,944","2,025,432","2,070,330","1,961,286","1,953,807","1,890,868","1,602,548","1,580,163","1,640,016","1,188,990","337,493","477,692","650,704","745,551","694,106","725,113"
Sydney Metro Bus Contract 7,Sydney,Adult Single Bus Trip 1,,"7,796","5,791","5,919","6,279","5,702","5,815","4,661","5,798","4,801","5,225","4,525","4,694","4,585","4,616","4,714","4,713","5,074","4,036","3,414","4,228","2,580","1,332","1,314","1,322","1,210","1,187","1,016","1,262",746,728,394,459,144,12,4,5,3,6,5,3,7,4,14,9,12,8,14,9,8,6
Sydney Metro Bus Contract 7,Sydney,Adult Single Bus Trip 2,,"5,332","3,832","4,302","4,355","4,267","3,978","3,297","3,823","3,568","3,665","3,297","3,318","3,144","3,032","3,318","3,144","3,545","2,708","2,524","2,981","1,796",919,905,964,925,839,753,997,688,559,380,395,130,1,6,2,,6,4,6,3,1,6,1,3,2,3,22,5,
Sydney Metro Bus Contract 7,Sydney,Adult Single Bus Trip 3,,"2,433","1,573","1,763","1,795","1,929","1,708","1,387","1,671","1,528","1,458","1,471","1,510","1,268","1,239","1,337","1,204","1,548","1,127",945,"1,253",732,370,359,326,345,307,316,385,277,266,156,174,65,,1,5,,2,,,1,1,1,1,3,4,1,3,2,3
Sydney Metro Bus Contract 7,Sydney,Child/Youth,"128,451","109,290","121,985","125,165","119,879","137,529","148,314","120,764","126,221","138,672","114,682","108,564","144,479","113,175","127,230","128,015","120,335","142,149","161,300","126,384","127,913","143,206","114,476","111,480","156,120","122,100","116,670","151,484","129,800","149,715","175,767","138,602","142,599","152,203","127,240","121,968","170,792","130,800","128,135","163,415","135,336","153,784","171,830","129,788","79,434","12,146","30,765","57,574","86,646","58,493","67,987"
Sydney Metro Bus Contract 7,Sydney,Child/Youth Single Bus Trip 1,,"2,580","1,555","1,520","1,291","1,524","1,643",820,953,"1,300",877,714,"1,176",652,804,753,637,953,919,429,541,477,166,183,304,142,199,200,201,121,148,61,63,27,2,,,,,,,,2,,,,,,,,
Sydney Metro Bus Contract 7,Sydney,Child/Youth Single Bus Trip 2,,"1,712","1,172","1,144",992,"1,250","1,271",655,839,"1,102",678,651,973,568,683,673,545,872,783,328,516,425,171,132,246,145,153,163,126,101,120,55,54,15,,,,1,,,,1,2,,1,,1,3,,,
Sydney Metro Bus Contract 7,Sydney,Child/Youth Single Bus Trip 3,,439,297,302,264,329,368,219,220,261,183,172,266,155,157,152,126,220,197,89,111,110,43,43,51,35,30,39,30,48,35,16,15,7,,,,,,,,,,,,,,,,,
Sydney Metro Bus Contract 7,Sydney,Concession,"140,995","196,428","154,998","153,843","132,648","105,962","96,696","121,569","213,253","145,320","192,197","137,650","129,483","198,785","154,215","160,979","139,695","109,913","105,384","124,627","203,544","157,590","193,257","143,692","134,425","205,497","160,149","178,982","150,245","117,299","111,408","142,707","225,748","175,358","194,848","152,230","151,818","199,677","165,098","173,884","147,695","113,614","103,088","135,804","130,614","17,521","29,296","49,869","67,238","71,760","73,879"
Sydney Metro Bus Contract 7,Sydney,Employee,"9,382","10,956","10,284","10,304","10,879","9,644","9,235","9,796","11,223","8,995","11,314","9,925","10,426","11,193","10,041","10,280","10,905","9,699","9,652","10,552","10,848","10,021","11,757","10,485","11,031","11,601","10,792","11,556","11,806","10,391","10,381","11,328","12,328","10,767","13,137","11,179","12,333","12,383","12,026","12,492","12,557","11,534","11,187","11,877","9,664","4,101","4,729","6,222","6,748","5,999","6,333"
Sydney Metro Bus Contract 7,Sydney,Free Travel,"2,229","2,910","2,894","2,861","3,274","3,224","2,898","3,114","3,671","3,192","3,919","3,203","3,203","3,829","3,482","3,509","3,752","3,343","3,191","3,556","3,672","3,143","3,580","3,382","3,254","3,858","3,617","3,996","3,840","3,493","3,450","3,723","3,925","3,499","4,132","3,521","4,028","3,957","3,616","3,705","3,977","3,700","3,428","3,204","2,479",878,"1,229","1,759","1,870","1,638","1,669"
Sydney Metro Bus Contract 7,Sydney,School Student,"93,651","206,633","150,923","136,177","183,438","72,876","13,550","176,614","200,648","70,419","203,867","155,754","90,467","194,843","128,674","129,911","166,889","63,226","15,338","182,224","188,698","79,586","205,839","177,707","89,462","211,198","180,431","118,271","199,061","92,569","17,960","217,183","244,722","126,256","259,937","198,714","119,584","235,716","209,840","143,007","210,637","98,765","28,133","220,440","147,785","1,505","46,983","124,153","71,103","122,554","114,884"
Sydney Metro Bus Contract 7,Sydney,Senior/Pensioner,"337,392","371,269","357,494","363,759","386,734","354,792","329,316","346,168","383,812","329,615","387,987","344,678","357,246","374,768","347,430","357,664","376,180","342,884","337,525","346,531","375,753","340,900","384,081","349,693","370,866","390,498","360,282","375,496","392,540","368,957","355,381","374,719","402,044","369,191","412,321","359,884","393,442","397,658","379,816","404,914","405,846","378,577","357,264","345,316","248,695","95,542","137,671","188,835","208,462","193,050","213,633"
Sydney Metro Bus Contract 7,Sydney,CTP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14,670","147,287","210,756","215,554","270,995","310,088","237,307","68,024","111,245","171,690","208,565","198,992","221,783"
Sydney Metro Bus Contract 7,Sydney,Day Pass Child/Youth w/o SAF,,,,,,,,,,,,,,3,1,1,,,,,,,7,1,,,1,,,,1,23,29,9,,26,14,19,2,7,8,3,5,1,3,1,,5,,,
Sydney Metro Bus Contract 7,Sydney,Day Pass without SAF,,,,,,,,,,,,,,6,17,11,,,,,,24,40,36,49,49,37,65,62,52,90,81,139,86,113,117,108,133,122,137,86,100,152,139,126,75,66,76,69,69,63
Sydney Metro Bus Contract 8,Sydney,Adult,"1,378,464","1,481,277","1,414,288","1,422,771","1,531,241","1,402,114","1,396,014","1,451,894","1,625,199","1,322,167","1,589,276","1,399,184","1,433,325","1,513,343","1,432,577","1,498,725","1,580,520","1,492,455","1,545,127","1,606,736","1,729,743","1,563,763","1,748,320","1,581,014","1,631,091","1,708,131","1,604,016","1,708,870","1,791,653","1,629,689","1,703,377","1,744,439","1,868,998","1,665,539","1,904,690","1,668,314","1,806,090","1,779,565","1,717,949","1,725,920","1,651,730","1,488,179","1,488,702","1,475,627","1,058,527","313,731","436,868","591,423","685,070","637,229","668,653"
Sydney Metro Bus Contract 8,Sydney,Adult Single Bus Trip 1,,"16,915","13,511","15,234","17,099","19,044","18,805","14,463","14,948","13,311","12,984","11,549","12,167","11,531","12,008","11,847","11,495","13,400","10,155","8,422","10,320","10,273","9,480","7,593","8,101","6,721","6,706","5,814","7,485","4,966","4,199","2,948","3,008",939,9,3,5,8,1,3,4,5,9,8,9,11,9,6,9,14,8
Sydney Metro Bus Contract 8,Sydney,Adult Single Bus Trip 2,,"12,476","9,580","11,191","12,060","14,069","13,384","9,842","10,268","9,051","9,176","7,692","8,228","7,425","7,665","7,845","7,809","8,431","5,986","4,674","6,306","5,973","5,145","4,160","4,393","3,745","3,847","3,278","4,556","3,198","2,813","1,841","1,800",566,1,2,16,3,5,10,1,12,6,3,,2,3,10,6,7,
Sydney Metro Bus Contract 8,Sydney,Adult Single Bus Trip 3,,"9,117","6,854","7,762","8,412","9,885","8,967","6,994","7,342","6,317","6,407","5,714","5,359","5,051","4,875","4,929","4,642","3,778","2,528","1,962","2,459","2,289","1,963","1,585","1,657","1,283","1,378","1,263","1,611","1,323","1,082",720,722,256,3,8,,3,,1,,2,3,,1,,2,2,7,2,3
Sydney Metro Bus Contract 8,Sydney,Child/Youth,"134,349","116,247","135,703","144,280","130,829","175,222","194,384","130,107","133,052","160,088","121,374","122,614","163,053","122,519","151,510","147,590","131,158","207,101","233,138","153,617","164,998","203,965","143,412","144,440","200,644","143,667","152,139","190,799","157,419","220,156","261,796","169,104","177,396","210,298","164,477","168,277","229,834","165,030","173,439","220,334","173,513","239,788","277,000","174,139","113,909","21,159","52,239","93,611","151,965","100,339","114,724"
Sydney Metro Bus Contract 8,Sydney,Child/Youth Single Bus Trip 1,,"4,804","3,948","4,392","3,920","6,131","7,538","2,943","3,184","5,153","2,682","2,848","4,750","2,465","3,875","3,878","2,668","4,639","4,529","1,469","2,439","3,967","1,934","1,909","3,250","1,590","1,880","2,013","1,839","1,810","2,124",846,794,275,,,,,,,,,,1,,,,1,,,
Sydney Metro Bus Contract 8,Sydney,Child/Youth Single Bus Trip 2,,"3,614","2,972","3,398","2,588","4,849","5,692","2,206","2,225","3,570","1,916","2,131","3,406","1,824","2,950","2,739","1,773","3,182","2,851",981,"1,591","2,492","1,271","1,130","1,860",935,"1,090","1,197","1,106","1,140","1,339",519,533,170,,,,,,,,1,,,,,,,,,
Sydney Metro Bus Contract 8,Sydney,Child/Youth Single Bus Trip 3,,"1,497","1,328","1,398","1,113","2,143","2,481","1,034","1,165","1,586",944,"1,038","1,765",848,"1,384","1,227",896,"1,132",986,354,579,695,367,336,544,258,336,340,352,407,428,160,133,51,,,,,,,,,,,,,,1,,,
Sydney Metro Bus Contract 8,Sydney,Concession,"105,937","113,289","93,371","92,481","82,857","72,425","67,831","77,032","125,155","93,117","116,551","84,566","78,570","119,114","95,579","97,170","85,579","76,324","72,030","82,425","131,718","107,053","127,967","97,335","87,870","132,489","107,824","106,324","93,274","78,009","75,351","90,816","139,800","114,815","127,377","100,828","97,464","130,490","112,677","115,478","98,589","82,925","75,800","92,493","83,421","12,179","21,432","36,763","47,930","50,463","52,926"
Sydney Metro Bus Contract 8,Sydney,Employee,"10,210","11,720","11,260","10,914","12,121","10,820","10,036","10,782","12,365","10,281","12,849","11,000","11,323","11,717","11,006","10,959","11,675","12,219","11,662","12,577","13,654","12,964","14,572","13,397","14,005","14,785","13,431","13,802","14,418","13,268","13,803","13,605","14,747","13,122","15,928","14,393","15,919","15,339","14,889","15,890","15,339","14,653","14,064","14,246","11,544","5,588","6,763","8,564","9,169","9,010","9,326"
Sydney Metro Bus Contract 8,Sydney,Free Travel,"2,346","3,289","3,288","3,248","3,575","3,413","2,890","3,161","3,509","2,982","3,712","3,222","3,227","3,591","3,549","3,724","3,802","3,462","3,219","3,687","3,803","3,278","3,779","3,300","3,494","3,538","3,302","3,657","3,847","3,527","3,397","3,690","3,775","3,509","4,255","3,907","4,165","4,268","3,992","4,305","4,146","4,014","3,625","3,865","2,924","1,079","1,466","2,006","2,209","1,968","2,078"
Sydney Metro Bus Contract 8,Sydney,School Student,"91,736","210,146","151,725","139,361","182,003","63,503","11,814","182,160","222,316","76,683","224,780","166,637","91,596","204,063","137,703","141,035","178,231","63,368","13,488","196,148","216,600","89,978","230,038","190,374","89,426","215,577","183,596","117,941","195,805","82,512","16,220","215,980","232,636","118,021","248,427","196,495","111,255","222,595","198,520","137,261","202,601","93,322","26,123","222,763","159,777","2,052","50,041","133,017","77,589","136,197","121,761"
Sydney Metro Bus Contract 8,Sydney,Senior/Pensioner,"248,198","270,937","264,855","272,806","289,479","272,046","254,198","255,178","285,878","251,841","285,568","250,600","261,186","273,252","260,525","269,106","287,840","279,818","273,803","280,867","303,994","285,486","311,518","277,466","292,942","304,837","288,686","302,105","319,820","310,074","300,255","305,386","326,129","306,890","337,880","292,306","321,313","317,467","307,256","336,955","333,663","325,744","308,690","301,443","213,652","74,504","109,897","159,122","178,581","164,797","181,574"
Sydney Metro Bus Contract 8,Sydney,CTP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14,917","156,398","240,953","289,776","342,095","367,498","283,804","89,692","143,081","215,261","262,330","252,115","274,351"
Sydney Metro Bus Contract 8,Sydney,Day Pass Child/Youth w/o SAF,,,,,,,,,,,,,,,4,,,,,,3,,3,,,,,2,1,4,2,,,3,,,,,,,30,12,6,,4,,,8,,,
Sydney Metro Bus Contract 8,Sydney,Day Pass without SAF,,,,,,,,,,,,,,,8,,,,,,1,12,20,11,13,7,4,25,12,24,53,31,33,13,30,29,29,26,40,37,65,46,46,64,16,15,36,10,20,17,14
Sydney Metro Bus Contract 9,Sydney,Adult,"4,376,415","4,713,740","4,470,762","4,626,745","4,844,537","4,521,730","4,515,985","4,473,069","4,877,665","4,027,845","4,546,395","3,940,423","4,171,010","4,441,330","4,221,831","4,533,632","4,586,715","4,317,876","4,470,938","4,418,599","4,975,155","4,443,395","4,450,372","3,857,967","3,784,091","3,996,848","3,780,960","4,230,417","4,348,716","3,961,022","4,181,004","4,248,036","4,591,950","4,091,112","4,326,318","3,864,717","4,166,386","4,133,906","4,086,108","4,106,302","3,895,240","3,355,591","3,184,074","3,093,501","2,210,555","641,267","902,275","1,145,046","1,297,532","1,226,714","1,264,376"
Sydney Metro Bus Contract 9,Sydney,Adult Single Bus Trip 1,,"21,263","16,869","19,287","20,575","22,417","22,633","18,347","18,308","15,255","14,840","12,956","14,164","13,514","13,286","14,980","14,275","17,703","14,011","11,892","16,219","14,768","13,215","11,661","11,916","10,536","9,746","8,318","10,276","8,100","7,149","4,543","4,782","1,702",5,9,11,20,18,13,10,25,13,14,27,20,26,11,18,16,10
Sydney Metro Bus Contract 9,Sydney,Adult Single Bus Trip 2,,"15,272","11,441","13,870","15,224","17,859","18,332","13,773","13,631","12,053","10,557","9,291","10,325","9,666","9,450","11,142","10,705","13,129","9,749","8,192","10,756","9,536","7,877","6,822","7,684","6,820","6,102","4,781","6,378","5,346","4,656","2,689","2,577",841,5,3,,7,8,5,2,4,5,3,5,14,7,8,5,1,1
Sydney Metro Bus Contract 9,Sydney,Adult Single Bus Trip 3,,"1,757","1,388","1,417","1,672","2,015","1,851","1,489","1,358","1,111","1,121",914,"1,007","1,000","1,006","1,025","1,043","1,270",952,803,"1,032",916,755,701,595,550,477,429,641,395,328,162,125,49,,1,2,9,1,,,2,,,1,2,1,2,,2,
Sydney Metro Bus Contract 9,Sydney,Child/Youth,"208,559","162,861","193,811","208,250","179,124","254,422","303,071","186,973","190,071","220,170","152,934","153,495","228,580","162,546","199,559","196,335","167,175","251,592","297,023","195,538","206,710","237,543","149,065","143,711","208,301","146,789","149,866","196,084","162,071","225,064","289,468","192,773","184,782","218,410","146,716","155,554","227,657","158,450","159,026","209,876","166,705","221,987","257,994","161,749","95,002","19,131","35,739","54,342","97,829","61,980","75,871"
Sydney Metro Bus Contract 9,Sydney,Child/Youth Single Bus Trip 1,,"4,605","3,156","3,541","2,872","3,915","4,406","2,119","2,109","2,803","1,747","1,729","2,629","1,497","1,903","1,947","1,399","2,427","2,099",996,"1,381","2,089","1,167","1,192","1,699",984,982,"1,033",953,"1,008","1,033",342,390,150,,2,,,,,14,1,,8,1,,,1,,,
Sydney Metro Bus Contract 9,Sydney,Child/Youth Single Bus Trip 2,,"2,234","1,616","1,673","1,377","2,120","2,357","1,114","1,040","1,624","1,022",968,"1,508",928,"1,110","1,047",764,"1,482","1,207",597,751,"1,128",663,644,"1,111",689,542,531,511,633,511,215,187,87,,1,,,,1,,,,,,,,,,,
Sydney Metro Bus Contract 9,Sydney,Child/Youth Single Bus Trip 3,,185,204,216,160,275,249,124,131,162,104,105,134,116,111,95,86,149,133,60,83,97,60,48,80,51,49,47,63,50,35,10,11,5,1,,,,,,,,,1,,,,,,,
Sydney Metro Bus Contract 9,Sydney,Concession,"400,008","742,957","584,827","579,125","402,512","269,739","266,307","355,399","742,207","485,584","659,665","369,357","353,327","674,727","513,857","527,508","361,080","241,878","241,553","334,576","680,976","524,471","599,075","338,131","318,925","590,633","440,820","468,530","314,144","201,406","214,369","381,440","602,591","503,519","371,153","474,003","503,874","439,603","393,623","512,740","416,789","225,602","183,402","336,078","303,894","26,763","48,109","79,232","103,902","107,589","131,173"
Sydney Metro Bus Contract 9,Sydney,Employee,"22,441","25,072","25,067","25,676","26,815","24,678","23,704","23,871","25,023","21,097","24,727","21,676","22,261","23,963","22,434","22,999","23,561","23,068","22,588","22,621","25,033","22,581","23,442","20,688","21,029","21,118","19,167","20,773","21,081","19,590","21,420","20,603","21,685","19,881","22,179","19,965","21,958","21,758","21,184","22,224","22,210","21,031","19,789","19,526","16,744","7,609","9,378","11,066","12,341","12,116","12,054"
Sydney Metro Bus Contract 9,Sydney,Free Travel,"4,861","6,214","6,423","6,624","6,961","6,569","6,039","6,434","7,123","6,086","7,097","6,370","6,632","6,985","6,614","6,733","6,965","6,424","6,361","6,834","7,706","6,944","7,329","6,603","6,690","7,300","6,735","7,330","7,203","6,597","6,521","6,843","7,219","6,333","7,397","6,434","7,566","7,134","6,541","7,104","7,057","6,744","6,336","6,486","5,092","1,864","2,772","3,889","4,265","4,098","4,439"
Sydney Metro Bus Contract 9,Sydney,School Student,"55,279","117,948","85,923","73,922","98,117","43,798","7,647","92,148","100,379","34,793","103,034","77,588","42,997","94,833","66,347","65,378","85,244","36,637","8,447","90,931","93,183","40,016","99,202","77,439","35,412","84,748","75,008","49,003","83,375","40,739","8,811","91,119","95,033","49,066","104,467","78,329","44,607","95,418","88,932","57,410","86,826","44,878","12,586","90,131","58,856","1,378","19,491","45,052","26,933","46,662","44,558"
Sydney Metro Bus Contract 9,Sydney,Senior/Pensioner,"795,776","850,777","842,193","873,683","905,139","854,703","815,752","802,867","844,271","744,820","838,307","741,271","774,154","792,656","758,946","799,779","814,071","785,883","778,581","771,031","838,621","776,252","776,675","683,961","680,611","702,097","663,368","739,818","752,380","725,301","716,345","713,535","765,227","719,302","779,651","674,532","738,957","728,335","701,760","778,604","778,361","730,172","694,286","671,738","514,550","226,080","305,335","387,680","424,627","404,332","426,530"
Sydney Metro Bus Contract 9,Sydney,CTP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"39,423","434,592","639,296","785,536","928,245","988,673","750,649","215,890","349,940","496,068","609,530","590,108","640,423"
Sydney Metro Bus Contract 9,Sydney,Day Pass Child/Youth w/o SAF,,,,,,,,,,,,,,1,,,,,,,,2,,1,1,,,1,,3,1,,10,11,1,1,,5,,47,1,5,4,,1,,,,,,
