Region,Individual,July 2016,August 2016,September 2016,October 2016,November 2016,December 2016,January 2017,February 2017,March 2017,April 2017,May 2017,June 2017,July 2017,August 2017,September 2017,October 2017,November 2017,December 2017,January 2018,February 2018,March 2018,April 2018,May 2018,June 2018,July 2018,August 2018,September 2018,October 2018,November 2018,December 2018,January 2019,February 2019,March 2019,April 2019,May 2019,June 2019,July 2019,August 2019,September 2019,October 2019,November 2019,December 2019,January 2020,February 2020,March 2020,April 2020,May 2020,June 2020,July 2020,August 2020,September 2020
Western Sydney,Child/Youth,"83,619","76,553","86,852","91,282","81,801","103,801","112,245","75,895","85,381","105,937","77,414","86,600","98,067","77,292","91,289","91,144","84,767","108,790","112,479","76,953","90,388","110,789","78,768","88,031","112,238","79,152","84,521","97,130","77,261","112,234","112,732","80,983","89,800","107,222","78,058","87,510","99,658","70,964","73,410","101,014","77,779","93,555","99,423","68,349","40,597","7,004","17,819","36,947","53,173","33,537","40,582"
Western Sydney,Concession,"174,271","215,917","174,931","168,905","139,608","111,584","104,421","121,362","223,871","169,963","218,231","160,304","128,362","210,562","167,685","168,488","143,320","113,343","104,324","120,029","217,228","190,414","227,385","161,606","149,095","223,549","181,051","176,741","137,548","117,632","104,995","136,224","223,086","189,193","196,686","153,395","142,319","172,549","152,453","175,235","143,232","107,187","98,280","129,335","119,431","15,815","25,897","51,223","62,801","63,512","71,255"
Western Sydney,CTP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2,007","32,110","40,668","43,070","52,837","53,321","65,589","62,435","58,279","68,330","91,182","175,282","202,830","199,853","232,816","250,115","187,899","58,552","88,320","154,086","177,232","164,517","184,526"
Western Sydney,Day Pass Child/Youth w/o SAF,,,,,,,,,,,,,,2,,,,,,,,,,,,,,3,,,1,,7,4,4,1,6,3,15,30,31,,,,1,,,,1,,
Western Sydney,Day Pass without SAF,,,,,,,,,,,,,,1,6,2,,,,,,2,5,2,4,7,3,14,20,12,10,9,19,21,27,23,8,28,20,42,42,13,17,39,26,14,5,16,16,24,14
Western Sydney,Employee,"13,196","15,391","15,547","15,093","16,371","15,432","13,597","14,636","17,174","14,479","18,095","16,640","13,287","14,633","13,182","12,828","14,566","13,881","13,375","13,277","15,792","15,035","17,500","15,641","15,059","15,701","15,037","16,839","16,265","17,118","14,987","16,078","19,297","17,554","21,654","17,837","17,013","15,991","16,403","18,802","17,792","16,324","15,967","16,100","14,335","9,302","9,613","12,288","12,836","11,767","12,476"
Western Sydney,Free Travel,"1,087","1,328","1,338","1,361","1,545","1,396","1,221","1,360","1,448","1,462","1,659","1,486","1,322","1,509","1,287","1,240","1,341","1,412","1,154","1,359","1,616","1,581","1,766","1,588","1,683","1,729","1,613","1,906","1,961","2,044","1,668","1,723","1,948","1,812","2,387","1,881","1,803","1,643","1,692","1,979","1,795","1,628","1,415","1,466","1,087",356,527,887,948,783,825
Western Sydney,School Student,"28,934","68,907","50,754","46,327","62,104","26,485","3,824","60,165","74,103","26,290","80,116","68,979","32,763","75,703","50,496","48,713","64,464","25,230","4,469","62,131","69,260","31,158","81,818","68,935","37,476","79,653","70,791","43,697","72,352","37,249","4,760","70,752","81,023","43,589","96,586","69,863","40,047","73,533","67,273","50,398","73,483","37,711","7,222","70,329","52,495",723,"22,469","60,685","33,011","55,747","52,311"
Western Sydney,Senior/Pensioner,"227,938","255,536","251,984","259,218","262,304","247,124","235,756","228,102","262,193","240,326","269,383","252,763","228,782","242,881","235,344","240,935","249,416","240,528","227,495","218,228","255,607","248,290","269,395","244,763","257,691","258,190","255,322","263,738","254,792","268,816","239,250","248,638","278,297","267,761","281,715","249,218","244,720","234,848","235,031","283,464","264,217","253,958","244,946","227,233","170,736","77,424","101,267","154,230","157,727","141,171","158,605"
Western Sydney,Sgl Trip Rail Adult,"4,303","14,894","15,599","15,796","15,247","19,491","16,062","14,125","15,557","15,432","14,156","15,053","13,451","13,744","13,804","14,519","16,384","21,824","18,293","16,216","19,787","17,748","17,096","17,760","14,770","15,391","15,096","16,291","15,866","20,493","14,541","12,612","14,666","14,164","13,637","12,328","9,445","8,724","8,343","9,856","9,013","10,065","8,952","7,304","4,448","1,061","1,595","2,736","2,811","2,016","2,466"
Western Sydney,Sgl Trip Rail Child/Youth,"1,630","3,929","4,930","4,582","3,591","5,661","5,580","3,184","3,783","5,068","3,630","4,346","5,089","3,909","4,414","4,166","3,848","6,420","6,203","3,570","4,395","5,579","4,094","5,104","5,480","3,966","3,795","4,468","3,343","5,901","5,039","3,040","3,720","5,151","3,477","4,373","4,267","2,795","2,668","3,633","2,690","4,188","4,538","2,400","1,621",544,"1,001","1,594","2,172","1,346","1,766"
South East Sydney,Adult,"3,970,697","4,389,115","4,212,808","4,042,741","4,461,496","4,147,929","3,863,971","4,090,553","4,763,437","3,960,382","4,674,114","4,271,946","4,305,581","4,629,174","4,412,414","4,599,565","4,687,949","4,277,144","4,174,954","4,352,183","4,639,415","4,334,778","4,943,506","4,422,907","4,592,540","4,853,759","4,420,673","4,809,361","4,936,009","4,108,485","4,274,023","4,410,384","4,703,507","4,153,949","4,896,361","4,219,721","4,531,917","4,501,854","4,371,948","4,363,362","4,299,504","3,673,566","3,621,442","3,620,407","2,634,216","825,095","1,196,383","1,548,468","1,811,153","1,627,022","1,731,752"
South East Sydney,Child/Youth,"175,608","155,625","179,420","174,816","170,691","238,791","239,712","157,792","167,964","206,283","145,946","158,885","220,360","157,585","198,079","187,015","157,387","241,888","255,286","169,622","164,999","214,711","148,274","159,993","225,519","154,868","160,156","201,703","170,358","211,803","261,385","166,644","163,205","196,172","152,396","153,592","212,495","147,224","154,994","201,739","163,673","206,394","246,406","148,099","86,029","14,108","38,105","63,674","115,795","63,495","86,737"
South East Sydney,Concession,"292,557","343,152","284,622","266,306","244,085","211,227","184,810","216,161","369,528","278,639","348,834","260,856","237,799","378,385","302,606","301,410","255,725","214,617","193,250","228,485","348,865","291,531","349,041","258,573","242,357","355,392","284,382","287,661","248,001","191,743","190,863","237,772","346,346","283,403","336,433","245,304","243,621","311,289","279,530","280,004","248,573","190,117","175,370","223,074","193,597","27,136","51,269","84,489","115,286","114,788","128,163"
South East Sydney,CTP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"5,736","81,424","121,725","136,517","153,631","144,954","183,545","178,988","184,540","224,795","283,777","512,397","662,188","664,312","768,801","826,923","596,378","157,178","285,051","428,762","534,928","480,483","555,341"
South East Sydney,Day Pass Child/Youth w/o SAF,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,6,9,3,6,1,,5,3,29,18,5,13,10,22,,,4,12,3,10
South East Sydney,Day Pass without SAF,,,,,,,,,,,,,,3,9,12,,,,,3,9,25,32,26,49,28,32,72,37,65,54,48,65,77,54,94,77,106,110,156,128,179,154,116,23,48,64,56,21,41
