Region,Individual,July 2016,August 2016,September 2016,October 2016,November 2016,December 2016,January 2017,February 2017,March 2017,April 2017,May 2017,June 2017,July 2017,August 2017,September 2017,October 2017,November 2017,December 2017,January 2018,February 2018,March 2018,April 2018,May 2018,June 2018,July 2018,August 2018,September 2018,October 2018,November 2018,December 2018,January 2019,February 2019,March 2019,April 2019,May 2019,June 2019,July 2019,August 2019,September 2019,October 2019,November 2019,December 2019,January 2020,February 2020,March 2020,April 2020,May 2020,June 2020,July 2020,August 2020,September 2020
Western Sydney,Free Travel,35,73,49,41,33,43,37,43,32,93,31,43,34,32,18,44,31,49,32,42,96,61,46,39,82,55,52,178,60,37,58,45,48,80,61,42,39,74,55,115,43,18,64,42,12,7,3,1,3,15,8
Western Sydney,School Student,"1,175","2,552","1,768","1,625","2,442",981,134,"2,189","2,918","1,096","3,536","2,795","1,574","2,472","1,733","1,847","2,499",845,115,"1,975","2,351",903,"3,078","2,291","1,527","2,719","2,140","1,440","2,861","1,031",141,"2,615","2,773","1,340","4,061","2,725","1,710","2,573","3,103","1,620","2,693","1,087",198,"2,519","1,331",18,227,676,594,966,818
Western Sydney,Senior/Pensioner,"8,427","8,560","8,645","11,173","8,285","7,777","7,190","8,095","8,798","13,448","7,884","8,676","10,536","6,497","6,759","9,310","8,554","8,272","6,809","7,516","9,642","7,746","7,640","7,746","9,975","9,229","8,248","10,628","9,059","7,661","10,157","8,746","8,748","9,810","8,872","9,202","9,870","11,414","10,107","12,728","9,804","7,041","10,671","6,922","3,604",618,928,"1,895","2,122","1,852","2,064"
Western Sydney,Sgl Trip Rail Adult,291,"1,715","1,124","1,303","1,123","1,124",894,929,"1,437","1,405","1,206","1,298","2,021","1,069","1,331","1,400","1,618","1,800",875,"1,383","1,562","1,098","1,074","1,493","1,499","2,102","1,472","1,352","1,279","1,065","1,080","1,010","1,093",806,829,937,830,"1,074",689,844,505,634,733,482,200,7,19,15,45,33,30
Western Sydney,Sgl Trip Rail Child/Youth,65,211,296,304,260,236,253,114,248,463,184,231,628,185,399,244,307,354,231,241,391,323,142,213,374,394,340,328,211,204,257,185,169,332,173,180,308,159,212,185,142,184,231,111,64,9,15,8,14,28,29
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
North Western Sydney,Adult,,,,,,,,,,,,,,,,,"477,818","2,278,694","2,226,851","2,316,457","2,667,277","2,400,762","2,760,329","2,565,643","2,637,018","2,682,911","2,563,569","3,934,360","3,997,909","3,392,689","3,281,678","3,704,351","4,090,344","3,660,684","4,301,314","3,695,748","3,928,123","3,888,756","3,871,250","3,901,692","3,561,284","3,316,036","3,093,253","3,133,757","2,069,299","485,552","676,891","1,070,459","1,230,403","1,093,775","1,238,894"
North Western Sydney,Child/Youth,,,,,,,,,,,,,,,,,"20,961","169,048","168,122","111,467","142,134","162,037","109,504","133,063","176,360","109,875","133,347","186,080","152,294","214,877","224,353","166,882","183,169","224,619","168,449","174,822","215,342","142,498","156,124","206,971","148,850","229,112","226,066","144,612","73,971","9,536","28,276","67,658","109,963","65,133","83,914"
North Western Sydney,Concession,,,,,,,,,,,,,,,,,"31,049","144,417","130,892","152,871","282,631","217,925","263,241","197,525","180,740","271,024","223,432","303,580","238,370","193,883","179,009","244,464","398,397","322,912","358,072","263,274","257,083","354,261","316,205","322,504","248,292","205,888","185,745","241,461","212,692","20,079","36,793","78,788","106,337","112,912","132,211"
North Western Sydney,CTP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"4,959","58,319","83,264","97,746","110,952","109,471","141,121","138,217","139,843","175,984","241,802","432,208","504,354","546,744","574,900","606,547","405,686","91,058","148,442","274,543","335,470","307,258","371,488"
North Western Sydney,Day Pass Child/Youth w/o SAF,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,6,,,,3,,6,3,1,,2,1,40,2,4,,1,,,,,,
North Western Sydney,Day Pass without SAF,,,,,,,,,,,,,,,,,,,,,1,3,1,4,7,4,4,19,5,13,22,18,11,30,46,34,61,183,53,45,45,37,60,149,61,9,6,9,10,6,12
North Western Sydney,Employee,,,,,,,,,,,,,,,,,"4,238","19,978","18,381","20,010","23,358","18,612","22,023","23,116","24,834","22,208","23,557","34,378","33,611","29,900","27,947","31,486","34,350","32,959","43,892","35,493","38,380","37,057","36,400","38,927","37,116","36,120","34,163","35,637","29,882","18,166","19,574","23,897","24,619","23,910","24,347"
North Western Sydney,Free Travel,,,,,,,,,,,,,,,,,673,"3,111","2,741","3,108","3,415","2,773","3,252","3,539","4,026","3,354","3,636","5,638","5,499","4,909","4,598","5,386","5,709","5,266","6,367","5,228","5,916","6,050","5,912","6,027","5,464","5,334","4,857","5,114","3,413",959,"1,609","2,534","2,717","2,699","3,100"
North Western Sydney,School Student,,,,,,,,,,,,,,,,,"26,106","47,697","13,928","158,481","165,315","69,487","183,134","157,760","69,762","180,210","159,449","135,313","229,118","83,177","20,487","243,235","264,558","137,110","276,597","209,651","110,425","246,728","227,584","152,468","221,094","87,549","30,738","235,450","157,603",930,"65,038","179,579","99,578","172,854","164,310"
North Western Sydney,Senior/Pensioner,,,,,,,,,,,,,,,,,"47,420","249,760","219,038","228,995","271,570","245,502","269,378","261,874","268,569","263,536","258,882","361,956","371,166","358,209","312,490","356,576","392,685","372,917","434,984","359,729","360,055","359,413","360,202","388,893","366,056","377,157","323,710","311,965","194,005","56,484","87,657","147,366","159,924","143,716","170,428"
North Western Sydney,Sgl Trip Rail Adult,,,,,,,,,,,,,,,,,"4,351","30,099","22,736","21,979","25,943","22,303","22,557","23,909","22,249","19,828","21,485","31,213","32,060","34,197","24,778","23,853","27,638","26,560","27,560","24,939","23,422","22,532","21,862","21,269","18,689","25,519","18,593","15,578","7,923","1,130","1,943","4,174","4,256","3,010","3,878"
North Western Sydney,Sgl Trip Rail Child/Youth,,,,,,,,,,,,,,,,,820,"9,011","8,209","4,236","5,575","7,123","4,475","6,233","8,191","4,255","5,298","7,452","5,447","9,565","8,672","4,828","5,885","9,379","6,511","7,590","9,591","5,575","6,055","7,478","4,837","9,945","9,514","4,175","2,395",776,"1,305","2,469","3,618","2,053","2,728"
Northern Sydney,Adult,,,,,,,,,,,,,,,,,"609,958","3,051,989","2,954,902","3,059,946","3,474,979","3,319,886","3,744,206","3,335,709","3,442,504","3,606,618","3,369,189","1,848,498","1,865,519","1,600,308","1,542,273","1,666,367","1,881,659","1,552,262",,,,,,,,,,,,,,,,,
Northern Sydney,Child/Youth,,,,,,,,,,,,,,,,,"21,996","190,187","195,119","139,592","160,708","191,853","128,952","142,157","194,350","126,299","142,217","86,904","77,085","91,523","97,415","84,660","81,181","84,923",,,,,,,,,,,,,,,,,
Northern Sydney,Concession,,,,,,,,,,,,,,,,,"39,951","189,860","169,894","207,736","385,765","306,628","376,527","263,344","233,320","382,292","299,442","183,932","146,224","105,175","98,795","139,868","233,770","171,271",,,,,,,,,,,,,,,,,
Northern Sydney,CTP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,641","24,290","33,780","35,839","39,279","36,181",,,,,,,,,,,,,,,,,
Northern Sydney,Day Pass Child/Youth w/o SAF,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,3,,,,,,,,,,,,,,,,,,
Northern Sydney,Day Pass without SAF,,,,,,,,,,,,,,,,,,,,,,1,5,5,8,7,4,5,11,7,3,2,9,19,,,,,,,,,,,,,,,,,
Northern Sydney,Employee,,,,,,,,,,,,,,,,,"4,866","23,683","22,302","24,391","26,415","24,921","31,399","28,106","28,604","29,335","27,252","19,865","20,268","15,976","16,552","19,176","20,337","16,997",,,,,,,,,,,,,,,,,
Northern Sydney,Free Travel,,,,,,,,,,,,,,,,,521,"2,527","2,184","2,546","2,711","2,662","3,096","2,847","2,903","2,931","2,883","1,543","1,575","1,269","1,263","1,515","1,612","1,242",,,,,,,,,,,,,,,,,
Northern Sydney,School Student,,,,,,,,,,,,,,,,,"26,518","54,679","12,491","157,373","163,764","73,363","188,246","159,725","74,555","182,446","158,638","56,224","93,549","42,286","7,225","99,608","105,688","49,683",,,,,,,,,,,,,,,,,
Northern Sydney,Senior/Pensioner,,,,,,,,,,,,,,,,,"53,008","290,449","264,118","273,945","305,006","293,092","320,108","294,726","306,166","312,264","298,932","180,680","186,598","175,624","160,756","180,278","187,466","159,982",,,,,,,,,,,,,,,,,
Northern Sydney,Sgl Trip Rail Adult,,,,,,,,,,,,,,,,,"4,876","35,443","26,985","26,901","30,319","28,779","27,579","26,446","24,129","24,038","24,072","9,175","9,201","9,031","6,907","6,537","7,105","6,579",,,,,,,,,,,,,,,,,
Northern Sydney,Sgl Trip Rail Child/Youth,,,,,,,,,,,,,,,,,822,"9,142","8,346","4,698","5,646","8,401","5,604","6,299","7,767","4,973","5,357","2,387","1,914","2,664","2,427","1,554","1,594","2,246",,,,,,,,,,,,,,,,,
Western Sydney,Adult,,,,,,,,,,,,,,,,,"544,969","2,732,771","2,796,911","2,918,543","3,418,443","2,910,641","3,524,368","3,228,729","3,247,765","3,537,823","3,302,273","3,454,454","3,523,629","2,994,733","3,108,795","3,001,659","3,510,464","3,325,419","3,325,298","3,150,348","3,380,804","3,296,718","3,181,787","3,233,244","3,024,719","2,883,609","2,523,128","2,770,713","2,125,533","642,367","927,178","1,133,341","1,341,297","1,177,640","1,264,369"
Western Sydney,Child/Youth,,,,,,,,,,,,,,,,,"19,068","161,865","178,304","122,447","147,374","149,366","117,875","132,253","158,283","117,875","122,927","147,551","130,574","160,745","185,622","112,802","132,956","168,663","106,569","129,707","162,737","109,142","111,020","147,732","116,301","158,080","152,191","107,136","67,935","10,324","27,601","44,882","75,297","44,303","55,940"
Western Sydney,Concession,,,,,,,,,,,,,,,,,"39,107","183,195","176,944","211,980","407,378","310,819","394,630","273,053","243,602","403,239","314,803","321,049","254,058","186,247","185,704","228,129","405,292","343,692","326,363","261,844","270,708","346,006","292,679","300,212","237,303","190,142","158,724","219,931","227,995","28,366","48,612","77,397","103,090","101,557","114,438"
Western Sydney,CTP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"3,201","46,796","59,280","57,027","69,740","72,941","83,738","80,965","84,567","104,259","140,690","241,667","285,395","318,361","313,963","365,140","290,301","90,189","149,348","205,404","252,359","232,540","269,355"
Western Sydney,Day Pass Child/Youth w/o SAF,,,,,,,,,,,,,,,,,,,,,,,4,,6,4,5,2,2,6,11,6,16,4,9,9,6,13,31,39,65,58,23,15,29,4,,2,32,4,6
Western Sydney,Day Pass without SAF,,,,,,,,,,,,,,,,,,,,,,20,69,60,104,81,84,88,120,102,151,175,283,240,166,222,288,249,262,267,303,266,257,278,313,174,175,199,270,226,217
Western Sydney,Employee,,,,,,,,,,,,,,,,,"8,045","37,668","36,901","40,131","45,577","39,126","49,870","46,032","44,584","48,277","46,623","49,821","51,168","45,853","46,479","46,180","54,207","53,141","54,527","54,893","58,919","58,661","57,770","58,663","57,296","56,121","50,591","54,837","49,832","29,787","35,367","36,959","41,067","38,137","40,222"
Western Sydney,Free Travel,,,,,,,,,,,,,,,,,690,"3,250","3,184","3,560","3,784","3,295","4,176","3,731","3,926","4,359","4,094","4,697","4,684","4,102","4,135","4,460","4,821","4,535","4,850","4,502","4,833","4,807","4,699","4,892","4,454","4,234","4,082","4,148","3,107",908,"1,395","1,890","2,180","2,054","2,337"
Western Sydney,School Student,,,,,,,,,,,,,,,,,"26,016","56,694","10,564","153,130","175,742","69,937","193,635","162,308","83,566","179,536","159,997","97,075","159,415","77,579","11,654","162,707","187,756","102,989","193,090","165,953","100,484","185,572","173,489","112,801","164,023","89,192","18,076","179,193","134,939","1,642","52,802","140,116","81,804","135,995","130,464"
Western Sydney,Senior/Pensioner,,,,,,,,,,,,,,,,,"59,965","324,275","321,171","326,875","374,262","321,355","376,365","349,376","346,052","374,813","357,960","370,064","378,235","353,910","342,645","330,541","382,493","378,967","365,990","351,825","378,121","365,767","362,317","386,727","365,496","381,147","318,678","331,674","246,996","91,987","143,088","181,870","205,040","182,539","204,152"
Western Sydney,Sgl Trip Rail Adult,,,,,,,,,,,,,,,,,"3,962","27,328","23,048","22,001","28,041","22,032","23,222","22,380","18,924","20,759","21,059","22,517","24,082","23,403","19,667","16,139","19,613","20,195","18,586","17,032","16,429","14,894","14,091","14,012","13,400","15,886","12,281","11,864","7,828","2,074","3,603","4,892","5,619","3,936","4,559"
Western Sydney,Sgl Trip Rail Child/Youth,,,,,,,,,,,,,,,,,"1,010","9,415","9,001","5,600","7,447","8,650","6,344","6,718","7,181","5,847","5,939","7,448","6,295","8,005","8,036","4,028","5,513","8,555","5,614","6,331","7,877","5,186","5,479","6,278","4,854","7,293","6,867","4,646","3,530","1,367","2,586","3,566","4,629","2,959","3,504"
Western Sydney,Adult,,,,,,,,,,,,,,,,,"289,965","1,386,437","1,426,749","1,496,797","1,657,311","1,522,022","1,792,329","1,593,430","1,647,308","1,744,309","1,627,875","1,717,333","1,786,040","1,472,287","1,468,544","1,660,674","1,642,593","1,490,097","1,826,437","1,582,778","1,669,784","1,705,110","1,619,201","1,591,183","1,617,721","1,302,389","1,420,531","1,318,084","958,213","313,689","458,465","602,445","676,801","636,061","667,124"
Western Sydney,Child/Youth,,,,,,,,,,,,,,,,,"8,686","66,135","75,860","55,368","57,857","68,279","53,703","56,659","71,913","54,233","54,569","62,745","58,318","67,467","75,183","58,812","56,035","63,908","55,061","59,995","75,133","56,596","55,663","63,042","57,729","63,981","72,905","46,660","26,987","2,713","11,271","20,550","35,891","20,828","27,038"
Western Sydney,Concession,,,,,,,,,,,,,,,,,"18,367","80,009","77,892","97,303","152,009","120,153","150,024","111,283","102,991","153,341","122,705","121,634","110,514","80,939","77,234","108,167","148,080","117,698","142,431","109,692","106,082","138,115","119,475","116,887","107,133","78,439","76,874","96,537","83,620","9,989","20,076","36,520","48,145","48,793","54,004"
Western Sydney,CTP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2,086","27,664","36,308","41,722","45,965","48,222","61,929","61,723","62,465","76,572","96,119","162,528","211,478","201,208","239,557","249,932","176,785","49,450","89,724","139,222","165,963","158,509","184,101"
Western Sydney,Day Pass Child/Youth w/o SAF,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,4,,2,,1,,11,35,28,21,,,,,,,,,
Western Sydney,Day Pass without SAF,,,,,,,,,,,,,,,,,,,,,1,7,4,3,5,2,3,3,6,10,7,27,28,18,18,6,14,23,14,25,29,51,14,26,11,8,8,7,5,8,5
Western Sydney,Employee,,,,,,,,,,,,,,,,,"3,396","14,175","14,060","16,248","17,565","15,727","20,880","18,162","18,896","18,892","17,164","19,103","21,205","16,177","16,825","20,026","20,236","17,741","23,554","20,155","22,338","22,253","20,870","21,596","22,397","17,910","18,884","20,161","16,690","8,179","10,011","11,155","12,092","10,949","11,403"
Western Sydney,Free Travel,,,,,,,,,,,,,,,,,218,984,946,"1,076","1,181","1,058","1,299","1,147","1,200","1,304","1,173","1,367","1,576","1,260","1,199","1,437","1,383","1,262","1,809","1,310","1,479","1,627","1,515","1,658","1,738","1,411","1,236","1,296",939,216,395,589,668,648,642
Western Sydney,School Student,,,,,,,,,,,,,,,,,"8,719","15,612","3,314","49,623","51,902","23,044","60,450","49,635","25,831","59,041","50,818","32,311","55,080","23,184","4,316","60,224","60,027","32,145","77,456","54,617","31,502","63,481","58,612","38,523","59,946","25,114","6,912","56,432","40,392",264,"18,000","47,350","25,561","45,755","43,151"
Western Sydney,Senior/Pensioner,,,,,,,,,,,,,,,,,"26,314","128,895","131,238","140,184","150,911","137,282","159,549","142,435","151,584","156,952","145,489","152,288","161,750","141,719","138,986","160,197","152,185","141,396","178,128","149,626","158,666","161,671","157,129","162,042","167,994","147,743","152,878","134,147","96,474","37,625","58,488","78,608","84,876","80,462","88,937"
Western Sydney,Sgl Trip Rail Adult,,,,,,,,,,,,,,,,,"2,550","18,244","15,886","14,652","16,894","14,137","14,874","15,051","12,892","12,842","13,046","13,698","15,532","14,418","11,470","11,175","11,219","10,095","11,150","10,314","9,347","9,327","8,133","7,843","8,173","8,625","7,286","5,918","3,236",382,882,"1,536","1,625","1,060","1,269"
Western Sydney,Sgl Trip Rail Child/Youth,,,,,,,,,,,,,,,,,398,"4,133","4,100","2,297","2,846","3,538","2,760","3,317","3,552","2,559","2,368","2,727","2,378","3,188","3,186","1,911","1,843","2,831","2,273","2,749","3,045","2,118","1,816","2,125","1,674","2,634","2,809","1,244",856,199,462,690,"1,140",573,822
Western Sydney,Adult,,,,,,,,,,,,,,,,,"364,275","1,939,511","1,814,059","1,833,792","2,155,842","1,958,926","2,266,324","2,082,714","2,137,077","2,244,451","2,116,548","2,209,420","2,198,220","1,808,124","1,896,752","1,964,415","2,176,979","1,942,761","2,447,171","2,085,114","2,027,643","2,150,214","1,955,531","2,062,868","1,949,907","1,747,368","1,763,091","1,648,119","1,315,910","494,019","643,070","805,730","929,968","879,921","901,119"
Western Sydney,Child/Youth,,,,,,,,,,,,,,,,,"13,753","118,285","118,379","83,061","98,628","111,517","82,248","95,339","118,221","86,209","91,524","102,067","88,060","100,717","119,785","89,392","93,446","105,134","89,948","101,713","108,422","86,101","80,641","103,636","85,302","102,712","113,301","69,623","45,601","7,234","17,972","33,668","52,641","34,483","42,408"
Western Sydney,Concession,,,,,,,,,,,,,,,,,"30,087","145,978","126,893","151,445","280,322","222,248","277,470","198,434","179,131","277,961","220,438","214,994","173,076","119,165","119,550","163,625","261,308","209,727","242,825","189,584","168,430","228,814","188,324","202,732","169,209","124,680","117,512","150,806","145,975","20,382","31,596","55,795","70,549","74,545","83,372"
Western Sydney,CTP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2,273","30,995","41,403","44,626","52,005","50,780","73,269","66,850","60,425","79,568","96,055","176,303","213,170","218,419","257,396","255,085","202,458","69,130","102,307","155,760","185,956","180,110","201,096"
Western Sydney,Day Pass Child/Youth w/o SAF,,,,,,,,,,,,,,,,,,,,,1,1,1,1,,,,,,,1,,4,,2,,2,1,16,51,29,4,,4,10,,,,,,
Western Sydney,Day Pass without SAF,,,,,,,,,,,,,,,,,,,,,1,7,8,21,18,13,27,32,24,12,30,38,59,24,53,50,39,46,47,82,81,43,70,53,54,42,23,32,34,48,31
Western Sydney,Employee,,,,,,,,,,,,,,,,,"4,711","22,997","19,827","22,044","25,793","22,757","29,692","27,374","25,971","26,338","26,088","29,231","28,658","21,736","23,305","26,756","29,098","25,415","34,269","29,994","28,822","30,350","27,747","30,512","31,515","26,157","27,599","27,780","25,041","14,232","14,666","16,675","17,670","16,540","16,987"
Western Sydney,Free Travel,,,,,,,,,,,,,,,,,493,"2,526","1,879","2,007","2,710","2,408","2,736","2,565","2,471","2,445","2,560","2,687","2,592","2,004","2,136","2,352","2,447","2,129","3,171","2,577","2,582","2,610","2,400","2,811","2,992","2,358","2,565","2,218","1,741",696,873,"1,363","1,413","1,274","1,386"
Western Sydney,School Student,,,,,,,,,,,,,,,,,"14,275","31,486","5,014","76,971","87,104","36,652","98,496","83,783","43,355","94,772","84,737","53,729","88,195","39,784","6,080","87,277","99,332","50,884","120,797","90,796","50,100","98,959","87,586","62,386","92,275","45,405","9,498","88,308","67,838",834,"28,580","75,868","41,429","73,545","68,687"
Western Sydney,Senior/Pensioner,,,,,,,,,,,,,,,,,"48,301","276,388","255,467","252,784","294,479","264,020","297,463","277,225","283,349","288,467","282,607","288,760","290,227","256,360","262,213","275,853","292,635","270,606","320,384","289,967","278,495","291,555","271,950","303,050","291,465","279,478","275,700","241,970","187,716","81,041","110,542","149,126","159,552","152,705","165,920"
Western Sydney,Sgl Trip Rail Adult,,,,,,,,,,,,,,,,,"3,097","25,269","18,634","17,387","21,543","18,406","18,551","19,664","16,000","16,133","16,404","17,321","17,333","16,804","14,656","13,286","14,307","13,564","15,677","14,119","11,484","12,392","10,676","11,111","10,914","12,471","11,014","8,433","5,427","1,343","1,955","3,271","3,355","2,530","2,797"
Western Sydney,Sgl Trip Rail Child/Youth,,,,,,,,,,,,,,,,,709,"7,055","6,073","3,797","4,950","5,967","4,443","5,410","5,478","3,968","4,137","4,377","3,530","4,532","4,694","2,914","3,294","4,616","3,787","4,564","4,336","3,301","2,887","3,835","2,841","4,559","5,364","2,526","1,995",762,"1,175","1,885","2,485","1,510","1,896"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
