Region,Individual,July 2016,August 2016,September 2016,October 2016,November 2016,December 2016,January 2017,February 2017,March 2017,April 2017,May 2017,June 2017,July 2017,August 2017,September 2017,October 2017,November 2017,December 2017,January 2018,February 2018,March 2018,April 2018,May 2018,June 2018,July 2018,August 2018,September 2018,October 2018,November 2018,December 2018,January 2019,February 2019,March 2019,April 2019,May 2019,June 2019,July 2019,August 2019,September 2019,October 2019,November 2019,December 2019,January 2020,February 2020,March 2020,April 2020,May 2020,June 2020,July 2020,August 2020,September 2020
Northern Sydney,CTP,,,,,,,,,,,,,,,,,,,,,138,361,399,469,548,561,623,645,691,"1,053",675,"1,226","1,414","1,283","1,483","1,611","1,812","1,859","2,118","4,111","4,852","6,480","7,052","6,701","4,773","1,206","1,939","3,288","4,259","3,902","4,190"
Northern Sydney,Day Pass Child/Youth w/o SAF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,,,,,,,,,,,,,,,,
Northern Sydney,Day Pass without SAF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,2,4,2,1,,,,,,,,,1,,
Northern Sydney,Employee,,,,,,,,,,,,,,,,,,,,,,1,,,4,66,102,103,98,91,52,66,112,95,95,114,80,96,69,106,105,135,72,69,79,19,17,52,100,106,93
Northern Sydney,Free Travel,28,33,44,38,33,51,17,27,59,34,51,51,43,42,53,53,37,47,4,52,48,55,31,42,30,37,60,40,42,55,32,45,47,45,51,33,56,48,43,51,36,49,64,53,31,1,6,19,32,21,33
Northern Sydney,School Student,5,32,18,36,42,27,2,100,150,58,148,100,44,149,110,80,116,45,6,109,84,34,101,77,56,114,111,66,77,37,4,77,78,47,96,72,44,88,95,49,65,70,29,198,128,2,58,184,107,222,240
Northern Sydney,Senior/Pensioner,"11,424","12,678","13,093","12,695","10,477","10,133","3,233","10,769","12,937","11,574","12,662","12,182","12,140","11,485","12,280","12,536","12,061","12,605","1,353","11,532","12,633","12,294","12,195","11,575","11,950","11,656","12,096","10,988","11,161","11,884","7,279","11,757","11,958","10,481","11,229","11,740","12,829","13,686","12,702","13,860","12,456","13,655","13,685","9,953","7,022","1,480","2,600","4,861","5,339","4,789","5,514"
Northern Sydney,Sgl Trip LR Adult,130,129,166,235,137,189,21,162,217,199,161,203,305,287,247,286,278,353,22,268,297,276,206,252,232,183,229,160,186,260,75,196,169,183,103,150,174,133,120,114,89,171,191,92,74,3,10,7,21,8,9
Northern Sydney,Sgl Trip LR Child/Youth,35,30,40,42,23,27,11,22,29,48,13,23,49,37,30,33,39,58,5,44,36,57,21,41,45,34,22,23,21,48,26,26,25,50,28,30,42,35,22,17,12,42,101,15,6,1,1,7,22,2,8
Northern Sydney,Adult,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"37,346","74,998","72,384","50,151","14,975","23,292","33,690","45,143","50,079","52,412"
